frame  length  RF2
0.000000  0.000000  -0.000000
1.000000  0.000000  0.000000
2.000000  0.000000  0.000001
3.000000  0.000000  0.000003
4.000000  0.000000  0.000014
5.000000  0.000000  0.000056
6.000000  0.000000  0.000211
7.000000  0.000000  0.000762
8.000000  0.000000  0.002686
9.000000  0.000000  0.009317
10.000000  0.000000  0.031951
11.000000  0.000000  0.108631
12.000000  0.000000  0.366629
13.000000  0.000000  1.228291
14.000000  0.000000  3.226551
15.000000  0.000000  6.646414
16.000000  0.000000  11.827305
17.000000  0.000000  19.084433
18.000000  0.000000  28.709309
19.000000  0.000000  40.964436
20.000000  0.000000  56.094452
21.000000  0.000000  74.312454
22.000000  0.000000  95.806938
23.000000  0.000000  120.629669
24.000000  0.000000  148.176361
25.000000  0.013129  176.338699
26.000000  0.013129  180.403976
27.000000  0.023682  182.914322
28.000000  0.034040  184.057098
29.000000  0.046060  183.628357
30.000000  0.129101  183.181320
31.000000  0.148489  182.083832
32.000000  0.204355  181.002411
33.000000  0.332529  179.453110
34.000000  0.332529  177.542587
35.000000  0.367586  177.056870
36.000000  0.431586  175.921341
37.000000  0.431586  173.943375
38.000000  0.516962  172.543106
39.000000  0.516962  171.812393
40.000000  0.516962  170.112228
41.000000  0.557568  168.267685
42.000000  0.643270  167.517365
43.000000  0.782607  166.960144
44.000000  0.990086  165.634781
45.000000  1.130359  160.360779
46.000000  1.240148  154.642212
47.000000  1.413043  152.176056
48.000000  1.413043  147.903839
49.000000  1.556082  147.106201
50.000000  1.556082  144.192642
51.000000  1.556082  143.856567
52.000000  1.556082  143.403900
53.000000  1.606301  142.141556
54.000000  1.606301  142.120651
55.000000  1.606301  142.089508
56.000000  1.606301  142.043198
57.000000  1.606301  141.974777
58.000000  1.606301  141.873978
59.000000  1.606301  141.727432
60.000000  1.606301  141.517258
61.000000  1.606301  141.222168
62.000000  1.606301  140.838577
63.000000  1.606301  138.843628
64.000000  1.686169  138.309860
65.000000  1.686169  133.193039
66.000000  1.755602  132.505829
67.000000  1.755602  131.906311
68.000000  1.755602  131.150330
69.000000  1.755602  130.256363
70.000000  1.894802  129.303970
71.000000  1.894802  128.371643
72.000000  1.894802  125.651459
73.000000  1.894802  124.902100
74.000000  1.984586  121.792786
103.000000  4.033443  47.853523
104.000000  4.116536  47.240490
105.000000  4.190417  46.446014
106.000000  4.190417  45.404339
107.000000  4.247330  38.167370
108.000000  4.247330  36.857796
109.000000  4.247330  31.255957
110.000000  4.381487  27.190699
124.000000  4.486160  6.609894
125.000000  4.486160  6.594851
126.000000  4.486160  6.576530
127.000000  4.486160  6.554632
128.000000  4.486160  6.531951
129.000000  4.486160  6.512649
130.000000  4.543172  6.485712
131.000000  4.543172  6.445662
132.000000  4.543172  6.403194



